assetIndex	weaponName	weaponDefName	b67E	b67F	b680	b681	b682	b683	booleanTailBytes
5536	sentry_minigun_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5565	barrel_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5569	artillery_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5570	stealth_bomb_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5571	destructible_car	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5606	heli_remote_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5628	defaultweapon_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5632	harrier_20mm_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5636	harrier_ffar_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5641	harrier_missile_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5642	pavelow_minigun_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5643	nuke_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5650	frag_grenade_short_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5654	remotemissile_projectile_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5660	lightstick_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5663	flare_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5668	throwingknife_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5671	throwingknife_rhand_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5684	killstreak_uav_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5685	killstreak_helicopter_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5689	killstreak_ac130_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5690	killstreak_predator_missile_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5691	killstreak_helicopter_minigun_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5692	killstreak_nuke_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5693	killstreak_precision_airstrike_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5694	killstreak_counter_uav_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5695	killstreak_sentry_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5709	airdrop_marker_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5710	airdrop_sentry_marker_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5711	killstreak_helicopter_flares_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5712	killstreak_emp_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5713	airdrop_mega_marker_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5714	killstreak_stealth_airstrike_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5715	killstreak_harrier_airstrike_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5756	gl_ak47_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
5783	ak47_shotgun_attach_mp	ac130/weap_ac130_105mm_dist2	0x00	0x00	0x00	0x00	0x00	0x00	
