assetIndex,menuFileName,menuIndex,menuOffset,itemCount,ownerDraw,ownerDrawFlags,staticFlags,dynamic0,dynamic1,dynamic2,dynamic3,windowNamePointer,backgroundPointer
1,"ui_mp/main.menu",0,0xF64,29,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xFFFFFFFF Inline,0x00000000 Null
1,"ui_mp/main.menu",1,0xF01A,23,0x00000000,0x00000000,0x01000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",0,0x8987F,16,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",1,0x8BFB3,1,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",2,0x8C51B,18,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",3,0x8F51A,5,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",4,0x90D04,33,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",5,0x972F2,20,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",6,0x9A2C2,5,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",7,0x9B0D5,19,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",8,0x9E395,15,0x00000000,0x00000000,0x30000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",9,0xA03F1,11,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",10,0xA1F12,14,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",11,0xA57B0,17,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",12,0xA8B71,3,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",13,0xA9518,15,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",14,0xABD58,12,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",15,0xADF35,12,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",16,0xB0C30,12,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
44,"ui_mp/hud_480.menu",17,0xB37F8,7,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",3,0xB4A63,5,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",4,0xB5ADF,33,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",5,0xBA12B,20,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",6,0xBC868,5,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",7,0xBD52C,19,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",10,0xC008E,14,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",11,0xC2B4C,17,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",12,0xC4DFB,3,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",13,0xC566D,15,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",14,0xC751A,12,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",15,0xC8E1C,12,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",16,0xCAFF8,12,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
45,"ui_mp/hud_720.menu",17,0xCCFB7,7,0x00000000,0x00000000,0x00000000,0x00000004,0x00000004,0x00000004,0x00000004,0xFFFFFFFF Inline,0x00000000 Null
